url,original_title,translated_title,original_what_youll_learn,translated_what_youll_learn,original_skills_youll_gain,translated_skills_youll_gain,original_description_and_objectives,translated_description_and_objectives
https://www.coursera.org/specializations/blockchain,Blockchain Specialization,Blockchain Specialization,"Understand smart contracts, a core idea and computational model of blockchain that enables automation, autonomy, scalability and transparency., Have an understanding and working knowledge of the emerging blockchain technology., How to design and program smart contracts and decentralized application., How to think of innovative application models, leveraging the blockchain technology.","Understand smart contracts, a core idea and computational model of blockchain that enables automation, autonomy, scalability and transparency., Have an understanding and working knowledge of the emerging blockchain technology., How to design and program smart contracts and decentralized application., How to think of innovative application models, leveraging the blockchain technology.",,,"This specialization introduces blockchain, a revolutionary technology that enables peer-to-peer transfer of digital assets without any intermediaries, and is predicted to be just as impactful as the Internet. More specifically, it prepares learners to program on the Ethereum blockchain. The four courses provide learners with (i) an understanding and working knowledge of foundational blockchain concepts, (ii) a skill set for designing and implementing smart contracts, (iii) methods for developing decentralized applications on the blockchain, and (iv) information about the ongoing specific industry-wide blockchain frameworks. The specialization covers a range of essential topics, from the cryptographic underpinnings of blockchain technology to enabling decentralized applications on a private Ethereum blockchain platform. It is ideal for programmers and designers involved in developing and implementing blockchain applications, and anyone who is interested in understanding its potential. Applied Learning Project Learners will apply the concepts covered in the courses to deploy an instance of a blockchain and carry out peer-to-peer transactions, program and test smart contracts using Solidity language; and analyze, design and code a blockchain-based solution for decentralized applications.","This specialization introduces blockchain, a revolutionary technology that enables peer-to-peer transfer of digital assets without any intermediaries, and is predicted to be just as impactful as the Internet. More specifically, it prepares learners to program on the Ethereum blockchain. The four courses provide learners with (i) an understanding and working knowledge of foundational blockchain concepts, (ii) a skill set for designing and implementing smart contracts, (iii) methods for developing decentralized applications on the blockchain, and (iv) information about the ongoing specific industry-wide blockchain frameworks. The specialization covers a range of essential topics, from the cryptographic underpinnings of blockchain technology to enabling decentralized applications on a private Ethereum blockchain platform. It is ideal for programmers and designers involved in developing and implementing blockchain applications, and anyone who is interested in understanding its potential. Applied Learning Project Learners will apply the concepts covered in the courses to deploy an instance of a blockchain and carry out peer-to-peer transactions, program and test smart contracts using Solidity language; and analyze, design and code a blockchain-based solution for decentralized applications."
https://www.coursera.org/specializations/blockchain-revolution-enterprise,Blockchain Revolution Specialization,Blockchain Revolution Specialization,"Seven design principles for the ‘Blockchain Revolution’, Top 10 challenges for implementing blockchain technology, Terms such as miner, hash, nonce, consensus mechanism, public key cryptography, cryptoasset, smart contract, DApp, and self-sovereign identity, Blockchain use-cases within your industry, and business model decisions to assess feasibility","Seven design principles for the ‘Blockchain Revolution’, Top 10 challenges for implementing blockchain technology, Terms such as miner, hash, nonce, consensus mechanism, public key cryptography, cryptoasset, smart contract, DApp, and self-sovereign identity, Blockchain use-cases within your industry, and business model decisions to assess feasibility",,,"Blockchain is poised to transform every industry and managerial function—redefining the ways we transact online, share ideas, and manage workflows. It’s a new technology that every business professional needs to understand. This four-course Specialization introduces you to the world of blockchain technology—explaining what blockchain is, how it works, and why it’s revolutionary. You will learn about various categories of cryptoassets, and the ways they can be transacted on a blockchain. You will learn how blockchain is disrupting business models and financial services, offering organizations new choices in how they create and manage value. The Specialization is taught by Don Tapscott and Alex Tapscott, globally-recognized authorities on innovation and technology and authors of the best-selling book Blockchain Revolution. It also includes various industry experts and developers from the Ethereum Foundation, Grid Singularity, Keyless Technologies, and ResonanceX who will share their experiences within the blockchain ecosystem. Additionally, you will gain access to ground-breaking research from the Blockchain Research InstituteOpens in a new tab as well as the  Blockchain Case Commons—a crowdsourced collection of blockchain applications and use-cases spanning multiple industries. Upon completion of this Specialization, you will produce a Blockchain Opportunity Analysis, in which you identify and evaluate a promising application of blockchain technology in your own industry. Applied Learning Project Upon completion of this Specialization, learners will produce a Blockchain Opportunity Analysis, in which you identify and evaluate a promising application of blockchain technology within your chosen industry. The goals of this project are twofold: One, it’s for you to identify a specific need or problem within an industry that can potentially be solved using blockchain technology. Two, it’s for you to investigate possible solutions to this problem, including how these solutions might be executed. You will accomplish different project milestones each week, and will be introduced to several tools to organize your findings. As an outcome of this project, you’ll walk away with a consolidated, peer-reviewed Blockchain Opportunity Analysis, which you can use to pitch your idea to your organization or even to potential investors.","Blockchain is poised to transform every industry and managerial function—redefining the ways we transact online, share ideas, and manage workflows. It’s a new technology that every business professional needs to understand. This four-course Specialization introduces you to the world of blockchain technology—explaining what blockchain is, how it works, and why it’s revolutionary. You will learn about various categories of cryptoassets, and the ways they can be transacted on a blockchain. You will learn how blockchain is disrupting business models and financial services, offering organizations new choices in how they create and manage value. The Specialization is taught by Don Tapscott and Alex Tapscott, globally-recognized authorities on innovation and technology and authors of the best-selling book Blockchain Revolution. It also includes various industry experts and developers from the Ethereum Foundation, Grid Singularity, Keyless Technologies, and ResonanceX who will share their experiences within the blockchain ecosystem. Additionally, you will gain access to ground-breaking research from the Blockchain Research InstituteOpens in a new tab as well as the  Blockchain Case Commons—a crowdsourced collection of blockchain applications and use-cases spanning multiple industries. Upon completion of this Specialization, you will produce a Blockchain Opportunity Analysis, in which you identify and evaluate a promising application of blockchain technology in your own industry. Applied Learning Project Upon completion of this Specialization, learners will produce a Blockchain Opportunity Analysis, in which you identify and evaluate a promising application of blockchain technology within your chosen industry. The goals of this project are twofold: One, it’s for you to identify a specific need or problem within an industry that can potentially be solved using blockchain technology. Two, it’s for you to investigate possible solutions to this problem, including how these solutions might be executed. You will accomplish different project milestones each week, and will be introduced to several tools to organize your findings. As an outcome of this project, you’ll walk away with a consolidated, peer-reviewed Blockchain Opportunity Analysis, which you can use to pitch your idea to your organization or even to potential investors."
https://www.coursera.org/learn/introduction-blockchain-technologies,Introduction to Blockchain Technologies,Introduction to Blockchain Technologies,"The limitations of the Internet for business and economic activity, and how trust is established in a pre- and post-blockchain world, Terms such as miner, hash, nonce, proof-of-work, and public key cryptography, as well as the steps of a blockchain transaction, Seven design principles for blockchain technology, Ten challenges associated with implementing blockchain technology","The limitations of the Internet for business and economic activity, and how trust is established in a pre- and post-blockchain world, Terms such as miner, hash, nonce, proof-of-work, and public key cryptography, as well as the steps of a blockchain transaction, Seven design principles for blockchain technology, Ten challenges associated with implementing blockchain technology",,,"In this first course of the specialization, we will discuss the limitations of the Internet for business and economic activity, and explain how blockchain technology represents the way forward. After completing this course, you will be able to explain what blockchain is, how it works, and why it is revolutionary. You will learn key concepts such as mining, hashing, proof-of-work, public key cryptography, and the double-spend problem. You’ll be able to describe seven design principles for blockchain technology, and the challenges facing the people developing it. You’ll also meet the players in the blockchain ecosystem, and consider your own role in stewarding the blockchain revolution.","In this first course of the specialization, we will discuss the limitations of the Internet for business and economic activity, and explain how blockchain technology represents the way forward. After completing this course, you will be able to explain what blockchain is, how it works, and why it is revolutionary. You will learn key concepts such as mining, hashing, proof-of-work, public key cryptography, and the double-spend problem. You’ll be able to describe seven design principles for blockchain technology, and the challenges facing the people developing it. You’ll also meet the players in the blockchain ecosystem, and consider your own role in stewarding the blockchain revolution."
https://www.coursera.org/learn/blockchain-security,Blockchain Security,Blockchain Security,,,,,"This course introduces blockchain security, including a description of how the blockchain works at each level of the blockchain ecosystem. The instructor begins with the building blocks that create the structure of blockchain, the cryptography that it uses for security, and the role of hash functions in the blockchain and how they can be attacked. In the next module, the instructor describes what blockchain consensus is, why it’s needed, its underlying theory (Byzantine Fault Tolerance and Security via Scarcity), some of the common consensus algorithms, and the security issues inherent to each variant. The course progresses with a module that describes how blocks are created, the nodes and network that make up the blockchain ecosystem, and examples of various attacks that can be made on their security. Next the focus is on smart contracts and how their security can be compromised with vulnerabilities created by common programming errors during contract development, including in Ethereum, the most commonly used smart contract platform. Finally, the course wraps up with discussions of distributed ledger architectures that are alternatives to blockchain, second-level blockchain protocols, and advanced cryptography in blockchain.","This course introduces blockchain security, including a description of how the blockchain works at each level of the blockchain ecosystem. The instructor begins with the building blocks that create the structure of blockchain, the cryptography that it uses for security, and the role of hash functions in the blockchain and how they can be attacked. In the next module, the instructor describes what blockchain consensus is, why it’s needed, its underlying theory (Byzantine Fault Tolerance and Security via Scarcity), some of the common consensus algorithms, and the security issues inherent to each variant. The course progresses with a module that describes how blocks are created, the nodes and network that make up the blockchain ecosystem, and examples of various attacks that can be made on their security. Next the focus is on smart contracts and how their security can be compromised with vulnerabilities created by common programming errors during contract development, including in Ethereum, the most commonly used smart contract platform. Finally, the course wraps up with discussions of distributed ledger architectures that are alternatives to blockchain, second-level blockchain protocols, and advanced cryptography in blockchain."
https://www.coursera.org/specializations/blockchain-financial-services,Blockchain Revolution in Financial Services Specialization,Blockchain Revolution in Financial Services Specialization,"Seven design principles for the ‘Blockchain Revolution’, Terms such as miner, hash, nonce, consensus mechanism, public key cryptography, cryptoasset, smart contract, DApp, and self-sovereign identity, Top 10 challenges for implementing blockchain technology, Blockchain applications and use-cases within the financial services industry","Seven design principles for the ‘Blockchain Revolution’, Terms such as miner, hash, nonce, consensus mechanism, public key cryptography, cryptoasset, smart contract, DApp, and self-sovereign identity, Top 10 challenges for implementing blockchain technology, Blockchain applications and use-cases within the financial services industry",,,"As the Internet was the first digital medium for information, blockchain is the first native digital medium for value.  Blockchain is poised to transform the economy and society at large—redefining the ways we transact online, share ideas, and manage workflows. The financial services sector is a key lever in such transformations. This four-course specialization introduces learners to the world of blockchain technology for financial services—including what blockchain is, how it works, and why it is revolutionary. Students learn about various categories of cryptoassets and the ways they can be transacted on a blockchain. They learn how blockchain is transforming the economy and society at large—redefining workflows, global payments, and prosperity. As an outcome of this specialization, students produce a Strategic Action Plan wherein they identify and evaluate a promising application of blockchain technology within the financial services industry. The Specialization is taught by Don Tapscott and Alex Tapscott, globally-recognized authorities on innovation and technology and authors of the best-selling book, “Blockchain Revolution.” It also includes various industry experts and practitioners who will share their experiences within the blockchain ecosystem. Applied Learning Project Upon completion of this Specialization, learners will produce a Strategic Action Plan, in which you identify and evaluate a promising application of blockchain technology within the financial services industry. The goals of this project are twofold: One, it’s for you to identify a specific need or problem within the financial services industry that can potentially be solved using blockchain technology. Two, it’s for you to investigate possible solutions to this problem, and to develop a strategic plan for how these solutions might be executed. You will accomplish different project milestones each week, and will be introduced to several tools to organize your findings.","As the Internet was the first digital medium for information, blockchain is the first native digital medium for value.  Blockchain is poised to transform the economy and society at large—redefining the ways we transact online, share ideas, and manage workflows. The financial services sector is a key lever in such transformations. This four-course specialization introduces learners to the world of blockchain technology for financial services—including what blockchain is, how it works, and why it is revolutionary. Students learn about various categories of cryptoassets and the ways they can be transacted on a blockchain. They learn how blockchain is transforming the economy and society at large—redefining workflows, global payments, and prosperity. As an outcome of this specialization, students produce a Strategic Action Plan wherein they identify and evaluate a promising application of blockchain technology within the financial services industry. The Specialization is taught by Don Tapscott and Alex Tapscott, globally-recognized authorities on innovation and technology and authors of the best-selling book, “Blockchain Revolution.” It also includes various industry experts and practitioners who will share their experiences within the blockchain ecosystem. Applied Learning Project Upon completion of this Specialization, learners will produce a Strategic Action Plan, in which you identify and evaluate a promising application of blockchain technology within the financial services industry. The goals of this project are twofold: One, it’s for you to identify a specific need or problem within the financial services industry that can potentially be solved using blockchain technology. Two, it’s for you to investigate possible solutions to this problem, and to develop a strategic plan for how these solutions might be executed. You will accomplish different project milestones each week, and will be introduced to several tools to organize your findings."
https://www.coursera.org/specializations/uci-blockchain,Blockchain Specialization,Blockchain Specialization,,,,,"Gain a fundamental understanding of blockchain technology and its components. Learn how such applications as cryptofinance makes use of the blockchain for decentralized, peer-to-peer transaction processing. Apply your knowledge of blockchain technology to enhance your trust and confidence in cryptocurrency trading and other situations where the blockchain is used. Applied Learning Project Throughout this course, you'll have opportunities for hands-on practice involving such blockchain elements as cryptography, hashing, and the assembly of blocks. You'll also have a chance to propose new uses of blockchain technologies for industries other than finance. The creative skills you'll learn and practice in this course will be useful both when using blockchain applications and when exploring new opportunities for applying blockchain concepts. The courses in this specialization requires the purchase of two books for the completion of assignments: Drescher, D. (2017). Blockchain Basics: A Non-Technical Introduction in 25 Steps. (ISBN-13: 978-1484226032) Antonoupoulos, A. M. (2017). The Internet of Money, Volume Two. (ISBN-13: 978-1947910065) Begin your exploration of blockchain technologies with a look at fundamental blockchain concepts along with an application in which blockchain technology plays a critical role — cryptofinance. This course also introduces distributed digital systems in terms of software and network architecture, and shows how these systems underlie the functionality of the blockchain. In this and the following courses in the specialization you'll have a chance for hands-on-practice to cement your learning. This course requires the purchase of two books for the completion of assignments:

Drescher, D. (2017). Blockchain Basics: A Non-Technical Introduction in 25 Steps. (ISBN-13: 978-1484226032)
Antonoupoulos, A. M. (2017). The Internet of Money, Volume Two. (ISBN-13: 978-1947910065) Continue learning about blockchain technology by diving into the nature of ownership and how the blockchain is one way to approach decentralized transaction handling. This course also demystifies cryptography and hashing, which are critical for authenticating users and guaranteeing transaction privacy. This course requires the purchase of two books for the completion of assignments:

Drescher, D. (2017). Blockchain Basics: A Non-Technical Introduction in 25 Steps. (ISBN-13: 978-1484226032)
Antonoupoulos, A. M. (2017). The Internet of Money, Volume Two. (ISBN-13: 978-1947910065) Apply what you have learned about cryptography and hashing in previous blockchain to the Merkle Tree, which underlies the process of adding new blocks — representing new transactions — to the blockchain. This course also introduces the concepts of proof of work and proof of stake, which play an important part in ensuring the integrity of the blockchain. This course requires the purchase of two books for the completion of assignments:

Drescher, D. (2017). Blockchain Basics: A Non-Technical Introduction in 25 Steps. (ISBN-13: 978-1484226032)
Antonoupoulos, A. M. (2017). The Internet of Money, Volume Two. (ISBN-13: 978-1947910065) Learn how the blockchain authenticates transactions and distributes data to peers — nodes connected to the network. This course shows you how multiple versions of a blockchain are reconciled into one, discusses blockchain limitations, and delves into organizational applications of blockchain technology. This course requires the purchase of two books for the completion of assignments:

Drescher, D. (2017). Blockchain Basics: A Non-Technical Introduction in 25 Steps. (ISBN-13: 978-1484226032)
Antonoupoulos, A. M. (2017). The Internet of Money, Volume Two. (ISBN-13: 978-1947910065)","Gain a fundamental understanding of blockchain technology and its components. Learn how such applications as cryptofinance makes use of the blockchain for decentralized, peer-to-peer transaction processing. Apply your knowledge of blockchain technology to enhance your trust and confidence in cryptocurrency trading and other situations where the blockchain is used. Applied Learning Project Throughout this course, you'll have opportunities for hands-on practice involving such blockchain elements as cryptography, hashing, and the assembly of blocks. You'll also have a chance to propose new uses of blockchain technologies for industries other than finance. The creative skills you'll learn and practice in this course will be useful both when using blockchain applications and when exploring new opportunities for applying blockchain concepts. The courses in this specialization requires the purchase of two books for the completion of assignments: Drescher, D. (2017). Blockchain Basics: A Non-Technical Introduction in 25 Steps. (ISBN-13: 978-1484226032) Antonoupoulos, A. M. (2017). The Internet of Money, Volume Two. (ISBN-13: 978-1947910065) Begin your exploration of blockchain technologies with a look at fundamental blockchain concepts along with an application in which blockchain technology plays a critical role — cryptofinance. This course also introduces distributed digital systems in terms of software and network architecture, and shows how these systems underlie the functionality of the blockchain. In this and the following courses in the specialization you'll have a chance for hands-on-practice to cement your learning. This course requires the purchase of two books for the completion of assignments:

Drescher, D. (2017). Blockchain Basics: A Non-Technical Introduction in 25 Steps. (ISBN-13: 978-1484226032)
Antonoupoulos, A. M. (2017). The Internet of Money, Volume Two. (ISBN-13: 978-1947910065) Continue learning about blockchain technology by diving into the nature of ownership and how the blockchain is one way to approach decentralized transaction handling. This course also demystifies cryptography and hashing, which are critical for authenticating users and guaranteeing transaction privacy. This course requires the purchase of two books for the completion of assignments:

Drescher, D. (2017). Blockchain Basics: A Non-Technical Introduction in 25 Steps. (ISBN-13: 978-1484226032)
Antonoupoulos, A. M. (2017). The Internet of Money, Volume Two. (ISBN-13: 978-1947910065) Apply what you have learned about cryptography and hashing in previous blockchain to the Merkle Tree, which underlies the process of adding new blocks — representing new transactions — to the blockchain. This course also introduces the concepts of proof of work and proof of stake, which play an important part in ensuring the integrity of the blockchain. This course requires the purchase of two books for the completion of assignments:

Drescher, D. (2017). Blockchain Basics: A Non-Technical Introduction in 25 Steps. (ISBN-13: 978-1484226032)
Antonoupoulos, A. M. (2017). The Internet of Money, Volume Two. (ISBN-13: 978-1947910065) Learn how the blockchain authenticates transactions and distributes data to peers — nodes connected to the network. This course shows you how multiple versions of a blockchain are reconciled into one, discusses blockchain limitations, and delves into organizational applications of blockchain technology. This course requires the purchase of two books for the completion of assignments:

Drescher, D. (2017). Blockchain Basics: A Non-Technical Introduction in 25 Steps. (ISBN-13: 978-1484226032)
Antonoupoulos, A. M. (2017). The Internet of Money, Volume Two. (ISBN-13: 978-1947910065)"
https://www.coursera.org/learn/cryptocurrency,Bitcoin and Cryptocurrency Technologies,Bitcoin and Cryptocurrency Technologies,,,,,"To really understand what is special about Bitcoin, we need to understand how it works at a technical level. We’ll address the important questions about Bitcoin, such as: How does Bitcoin work? What makes Bitcoin different? How secure are your Bitcoins? How anonymous are Bitcoin users? What determines the price of Bitcoins? Can cryptocurrencies be regulated? What might the future hold?

After this course, you’ll know everything you need to be able to separate fact from fiction when reading claims about Bitcoin and other cryptocurrencies. You’ll have the conceptual foundations you need to engineer secure software that interacts with the Bitcoin network. And you’ll be able to integrate ideas from Bitcoin in your own projects.

Course Lecturers:
Arvind Narayanan, Princeton University


All the features of this course are available for free.  It does not offer a certificate upon completion.","To really understand what is special about Bitcoin, we need to understand how it works at a technical level. We’ll address the important questions about Bitcoin, such as: How does Bitcoin work? What makes Bitcoin different? How secure are your Bitcoins? How anonymous are Bitcoin users? What determines the price of Bitcoins? Can cryptocurrencies be regulated? What might the future hold?

After this course, you’ll know everything you need to be able to separate fact from fiction when reading claims about Bitcoin and other cryptocurrencies. You’ll have the conceptual foundations you need to engineer secure software that interacts with the Bitcoin network. And you’ll be able to integrate ideas from Bitcoin in your own projects.

Course Lecturers:
Arvind Narayanan, Princeton University


All the features of this course are available for free.  It does not offer a certificate upon completion."
https://www.coursera.org/learn/blockchain-scalability,Blockchain Scalability and its Foundations in Distributed Systems,Blockchain Scalability and its Foundations in Distributed Systems,,,,,"Blockchain promises to disrupt industries once it will be efficient at large scale. In this course, you will learn how to make blockchain scale.  You will learn about the foundational problem of distributed computing, consensus, that is key to create blocks securely. By illustrating limitations of mainstream blockchains, this course will indicate how to improve the technology in terms of security and efficiency. In particular, this course will help you: 
* understand security vulnerabilities of mainstream blockchains; 
* design consensus algorithms that tolerate attacks, and; 
* design scalable blockchain systems.","Blockchain promises to disrupt industries once it will be efficient at large scale. In this course, you will learn how to make blockchain scale.  You will learn about the foundational problem of distributed computing, consensus, that is key to create blocks securely. By illustrating limitations of mainstream blockchains, this course will indicate how to improve the technology in terms of security and efficiency. In particular, this course will help you: 
* understand security vulnerabilities of mainstream blockchains; 
* design consensus algorithms that tolerate attacks, and; 
* design scalable blockchain systems."
https://www.coursera.org/specializations/decentralized-finance-duke,Decentralized Finance (DeFi): The Future of Finance Specialization,Decentralized Finance (DeFi): The Future of Finance Specialization,Learners will have a much deeper understanding of both the infrastructure of decentralized finance and the leading applications.,Learners will have a much deeper understanding of both the infrastructure of decentralized finance and the leading applications.,,,"DeFi and the Future of Finance is a four course learning experience. DeFi or Decentralized Finance is a new technology whereby users interact as peers with algorithms or smart contracts rather than through traditional intermediaries such as banks, brokerages or insurance companies.  The technology has the potential to transform finance as we know it. It solves key problems in traditional finance such as lack of inclusion, inefficiency, opacity, centralized control and lack of interoperability. The first course, DeFi Infrastructure, focuses on the historical evolution of decentralized finance as well as the problems that DeFi solves. The second course, DeFi Primitives, deals with mechanics, supply and ownership, and loans and swaps. The third course, DeFi Deep Dive, explores the leading protocols including MakerDAO, Compound, Aave, Uniswap and dYdX. The fourth course, DeFi Risks and Opportunities, analyzes the key risks including smart contract risk, governance risk, scaling as well as regulatory issues. The final part of the course sketches a vision of finance in the future including the winners and the losers.","DeFi and the Future of Finance is a four course learning experience. DeFi or Decentralized Finance is a new technology whereby users interact as peers with algorithms or smart contracts rather than through traditional intermediaries such as banks, brokerages or insurance companies.  The technology has the potential to transform finance as we know it. It solves key problems in traditional finance such as lack of inclusion, inefficiency, opacity, centralized control and lack of interoperability. The first course, DeFi Infrastructure, focuses on the historical evolution of decentralized finance as well as the problems that DeFi solves. The second course, DeFi Primitives, deals with mechanics, supply and ownership, and loans and swaps. The third course, DeFi Deep Dive, explores the leading protocols including MakerDAO, Compound, Aave, Uniswap and dYdX. The fourth course, DeFi Risks and Opportunities, analyzes the key risks including smart contract risk, governance risk, scaling as well as regulatory issues. The final part of the course sketches a vision of finance in the future including the winners and the losers."
https://www.coursera.org/learn/blockchain-business-models,Blockchain Business Models,Blockchain Business Models,,,,,"Blockchain is an emerging and highly disruptive technology that is poorly understood. In this course you will learn what blockchain is and how it can create value by tokenization in cryptocurrencies and in many other practical applications. The applications include: stablecoins (like Facebook’s Libra and JP Morgan’s JPMCoin), machine to machine payments, identity protection, supply chain management (Walmart, Maersk, IBM), secure voting, distributed exchanges, decentralized finance, property transfers, central bank fiat crypto (e.g., Fedcoin and China’s digital Renminbi), dispensing prescription drugs, private records, intellectual property, financial reporting, and media and advertising, to name a few.  The goals of the course are to: (i) provide an advanced understanding of the various blockchain technologies; (ii) determine the specific business situations where blockchain technology can be deployed to solve important problems; (iii) select the specific blockchain technology that has the best chance of success for a particular problem; and (iv) detail the risks presented by this new technology.","Blockchain is an emerging and highly disruptive technology that is poorly understood. In this course you will learn what blockchain is and how it can create value by tokenization in cryptocurrencies and in many other practical applications. The applications include: stablecoins (like Facebook’s Libra and JP Morgan’s JPMCoin), machine to machine payments, identity protection, supply chain management (Walmart, Maersk, IBM), secure voting, distributed exchanges, decentralized finance, property transfers, central bank fiat crypto (e.g., Fedcoin and China’s digital Renminbi), dispensing prescription drugs, private records, intellectual property, financial reporting, and media and advertising, to name a few.  The goals of the course are to: (i) provide an advanced understanding of the various blockchain technologies; (ii) determine the specific business situations where blockchain technology can be deployed to solve important problems; (iii) select the specific blockchain technology that has the best chance of success for a particular problem; and (iv) detail the risks presented by this new technology."
