url,original_title,translated_title,original_what_youll_learn,translated_what_youll_learn,original_skills_youll_gain,translated_skills_youll_gain,original_description_and_objectives,translated_description_and_objectives
https://www.coursera.org/learn/sql-data-science,Databases and SQL for Data Science with Python,Databases and SQL for Data Science with Python,"Analyze data within a database using SQL and Python., Create a relational database and work with multiple tables using DDL commands., Construct basic to intermediate level SQL queries using DML commands., Compose more powerful queries with advanced SQL techniques like views, transactions, stored procedures, and joins.","Analyze data within a database using SQL and Python., Create a relational database and work with multiple tables using DDL commands., Construct basic to intermediate level SQL queries using DML commands., Compose more powerful queries with advanced SQL techniques like views, transactions, stored procedures, and joins.","Python Programming, Data Manipulation, Jupyter, Relational Databases, Databases, Query Languages, Stored Procedure, Data Analysis, SQL, Transaction Processing, Pandas (Python Package)","Python Programming, Data manipulation, Jupyter, Relational Databases, Databases, Query Languages, Stored Procedure, Data analysis, SQL, Transaction Processing, Pandas (Python Package)","Working knowledge of SQL (or Structured Query Language) is a must for data professionals like Data Scientists, Data Analysts and Data Engineers. Much of the world's data resides in databases. SQL is a powerful language used for communicating with and extracting data from databases. In this course you will learn SQL inside out- from the very basics of Select statements to
advanced concepts like JOINs. 
You will: 
-write foundational SQL statements like: SELECT, INSERT, UPDATE, and DELETE 
-filter result sets, use WHERE, COUNT, DISTINCT, and LIMIT clauses 
-differentiate between DML & DDL 
-CREATE, ALTER, DROP and load tables 
-use string patterns and ranges; ORDER and GROUP result sets, and built-in database functions
-build sub-queries and query data from multiple tables 
-access databases as a data scientist using Jupyter notebooks with SQL and Python
-work with advanced concepts like Stored Procedures, Views, ACID Transactions, Inner & Outer JOINs through hands-on labs and projects

You will  practice building SQL queries, work with real databases on the Cloud, and use real data science tools. 

In the final project you’ll analyze multiple real-world datasets to demonstrate your skills.","Working knowledge of SQL (or Structured Query Language) is a must for data professionals like Data Scientists, Data Analysts and Data Engineers. Much of the world's data resides in databases. SQL is a powerful language used for communicating with and extracting data from databases. In this course you will learn SQL inside out- from the very basics of Select statements to
advanced concepts like JOINs. 
You will: 
-write foundational SQL statements like: SELECT, INSERT, UPDATE, and DELETE 
-filter result sets, use WHERE, COUNT, DISTINCT, and LIMIT clauses 
-differentiate between DML & DDL 
-CREATE, ALTER, DROP and load tables 
-use string patterns and ranges; ORDER and GROUP result sets, and built-in database functions
-build sub-queries and query data from multiple tables 
-access databases as a data scientist using Jupyter notebooks with SQL and Python
-work with advanced concepts like Stored Procedures, Views, ACID Transactions, Inner & Outer JOINs through hands-on labs and projects

You will  practice building SQL queries, work with real databases on the Cloud, and use real data science tools. 

In the final project you’ll analyze multiple real-world datasets to demonstrate your skills."
https://www.coursera.org/professional-certificates/meta-database-engineer,Meta Database Engineer Professional Certificate,Meta Database Engineer Professional Certificate,"Demonstrate proficiency of SQL syntax and explain how it’s used to interact with a database., Create databases from scratch and learn how to add, manage and optimize your database., Write database driven applications in Python to connect clients to MySQL databases., Develop a working knowledge of advanced data modeling concepts.","Demonstrate proficiency of SQL syntax and explain how it’s used to interact with a database., Create databases from scratch and learn how to add, manage and optimize your database., Write database driven applications in Python to connect clients to MySQL databases., Develop a working knowledge of advanced data modeling concepts.","MySQL Workbench, Database Design, Databases, SQL, GitHub, Database Administration, Database Management, Database Development, Database Management Systems, Version Control, Unix Commands, Data Modeling","MySQL Workbench, Database Design, Databases, SQL, Github, Database Administration, Database Management, Database Development, Database Management Systems, Version Control, Unix Commands, Date modeling","Want to get started in the world of database engineering? This program is taught by industry-recognized experts at Meta. You’ll learn the key skills required to create, manage and manipulate databases, as well as industry-standard programming languages and software such as SQL, Python, and Django used for supporting outstanding websites and apps like Facebook, Instagram and more. In this program, you’ll learn: Core techniques and methods to structure and manage databases. Advanced techniques to write database driven applications and advanced data modeling concepts. MySQL database management system (DBMS) and data creation, querying and manipulation. How to code and use Python Syntax How to prepare for technical interviews for database engineer roles. Any third-party trademarks and other intellectual property (including logos and icons) referenced in the learning experience remain the property of their respective owners. Unless specifically identified as such, Coursera’s use of third-party intellectual property does not indicate any relationship, sponsorship, or endorsement between Coursera and the owners of these trademarks or other intellectual property. Applied Learning Project You’ll complete a series of 5 projects in which you will demonstrate your proficiency in different aspects of database engineering. You’ll demonstrate your skills with database normalization by structuring your own relational database by defining relationships between entities and developing relational schema. This is followed by a stored procedure project in which you’ll demonstrate your competency in SQL automation by writing a stored procedure to solve real world problems. After developing your skills in Python, you’ll create a Python application to administer a MySQL database and program its interactions with clients. In the next project, you are required to apply data modeling to a real-world project by enacting advanced data modeling concepts such as automation, storage and optimization. Finally, you’ll be tasked with creating a MySQL database solution for an app by drawing on the knowledge and skills that they have gained throughout the program.","Want to get started in the world of database engineering? This program is taught by industry-recognized experts at Meta. You’ll learn the key skills required to create, manage and manipulate databases, as well as industry-standard programming languages and software such as SQL, Python, and Django used for supporting outstanding websites and apps like Facebook, Instagram and more. In this program, you’ll learn: Core techniques and methods to structure and manage databases. Advanced techniques to write database driven applications and advanced data modeling concepts. MySQL database management system (DBMS) and data creation, querying and manipulation. How to code and use Python Syntax How to prepare for technical interviews for database engineer roles. Any third-party trademarks and other intellectual property (including logos and icons) referenced in the learning experience remain the property of their respective owners. Unless specifically identified as such, Coursera’s use of third-party intellectual property does not indicate any relationship, sponsorship, or endorsement between Coursera and the owners of these trademarks or other intellectual property. Applied Learning Project You’ll complete a series of 5 projects in which you will demonstrate your proficiency in different aspects of database engineering. You’ll demonstrate your skills with database normalization by structuring your own relational database by defining relationships between entities and developing relational schema. This is followed by a stored procedure project in which you’ll demonstrate your competency in SQL automation by writing a stored procedure to solve real world problems. After developing your skills in Python, you’ll create a Python application to administer a MySQL database and program its interactions with clients. In the next project, you are required to apply data modeling to a real-world project by enacting advanced data modeling concepts such as automation, storage and optimization. Finally, you’ll be tasked with creating a MySQL database solution for an app by drawing on the knowledge and skills that they have gained throughout the program."
https://www.coursera.org/learn/introduction-to-databases,Introduction to Databases,Introduction to Databases,"Concepts and principles that underpin how databases work ., Plan and execute a simple database development project .","Concepts and principles that underpin how databases work ., Plan and execute has simple database development project.","Data Manipulation, Query Languages, Database Design, Relational Databases, Database Administration, SQL, Databases, Database Management Systems, Data Integrity, MySQL","Data manipulation, Query Languages, Database Design, Relational Databases, Database Administration, SQL, Databases, Database Management Systems, Integrity data, Mysql","In this course, you will be introduced to databases and explore the modern ways in which they are used. Learn to distinguish between different types of database management systems then practice basic creation and data selection with the use of Structured Query Language (SQL) commands. By the end of this course, you’ll be able to: 

- Demonstrate a working knowledge of the concepts and principles that underpin how databases work
- Identify and explain the different types of core technology and management systems used in
   databases
- Identify and interpret basic SQL statements and commands
- Manipulate records in a database with the use of SQL statements and commands
- Outline alternatives to SQL
- and plan and design a simple relational database system

You’ll also gain experience with the following:

• Fundamental concepts in database 
• Basic MySQL syntax and commands
• Database management systems
• MySQL software
• Relational databases","In this course, you will be introduced to databases and explore the modern ways in which they are used. Learn to distinguish between different types of database management systems then practice basic creation and data selection with the use of Structured Query Language (SQL) commands. By the end of this course, you’ll be able to: 

- Demonstrate a working knowledge of the concepts and principles that underpin how databases work
- Identify and explain the different types of core technology and management systems used in
   databases
- Identify and interpret basic SQL statements and commands
- Manipulate records in a database with the use of SQL statements and commands
- Outline alternatives to SQL
- and plan and design a simple relational database system

You’ll also gain experience with the following:

• Fundamental concepts in database 
• Basic MySQL syntax and commands
• Database management systems
• MySQL software
• Relational databases"
https://www.coursera.org/learn/relational-database-administration,Relational Database Administration (DBA),Relational Database Administration (DBA),"Create, query, and configure databases and access and build system objects such as tables., Perform basic database management including backing up and restoring databases as well as managing user roles and permissions., Monitor and optimize important aspects of database performance., Troubleshoot database issues such as connectivity, login, and configuration and automate functions such as reports, notifications, and alerts.","Create, query, and configure databases and access and build system objects such as tables., Perform basic database management including backing up and restoring databases as well as managing user roles and permissions., Monitor and optimize important aspects of database performance., Troubleshoot database issues such as connectivity, login, and configuration and automate functions such as reports, notifications, and alerts.","User Accounts, Database Management, Database Architecture and Administration, MySQL, Database Administration, Operational Databases, Database Systems, Performance Tuning, Database Design, PostgreSQL, Encryption, Role-Based Access Control (RBAC), Data Storage Technologies, Relational Databases, System Monitoring, Disaster Recovery, IBM DB2","User Accounts, Database Management, Database Architecture and Administration, Mysql, Database Administration, Operational Databases, Database Systems, Performance Tuning, Database Design, PostgreSQL, Encryption, Role-Based Access Control (RBAC), Data Storage Technologies, Relational Databases, System Monitoring, Disaster Recovery, IBM DB2","Get started with Relational Database Administration and Database Management in this self-paced course! This course begins with an introduction to database management; you will learn about things like the Database Management Lifecycle, the roles of a Database Administrator (DBA) as well as database storage. You will then discover some of the activities, techniques, and best practices for managing a database.  

You will also learn about database optimization, including updating statistics, slow queries, types of indexes, and index creation and usage. You will learn about configuring and upgrading database server software and related products. You’ll also learn about database security; how to implement user authentication, assign roles, and assign object-level permissions. And gain an understanding of how to perform backup and restore procedures in case of system failures.  

You will learn how to optimize databases for performance, monitor databases, collect diagnostic data, and access error information to help you resolve issues that may occur. Many of these tasks are repetitive, so you will learn how to schedule maintenance activities and regular diagnostic tests and send automated messages of the success or failure of a task. The course includes both video-based lectures as well as hands-on labs to practice and apply what you learn. 

This course ends with a final project where you will assume the role of a database administrator and complete a number of database administration tasks across many different databases.","Get started with Relational Database Administration and Database Management in this self-paced course! This course begins with an introduction to database management; you will learn about things like the Database Management Lifecycle, the roles of a Database Administrator (DBA) as well as database storage. You will then discover some of the activities, techniques, and best practices for managing a database.  

You will also learn about database optimization, including updating statistics, slow queries, types of indexes, and index creation and usage. You will learn about configuring and upgrading database server software and related products. You’ll also learn about database security; how to implement user authentication, assign roles, and assign object-level permissions. And gain an understanding of how to perform backup and restore procedures in case of system failures.  

You will learn how to optimize databases for performance, monitor databases, collect diagnostic data, and access error information to help you resolve issues that may occur. Many of these tasks are repetitive, so you will learn how to schedule maintenance activities and regular diagnostic tests and send automated messages of the success or failure of a task. The course includes both video-based lectures as well as hands-on labs to practice and apply what you learn. 

This course ends with a final project where you will assume the role of a database administrator and complete a number of database administration tasks across many different databases."
https://www.coursera.org/professional-certificates/ibm-relational-database-administrator,IBM Relational Database Administrator Professional Certificate,IBM Relational Database Administrator Professional Certificate,"Gain job-ready database skills by mastering core RDBMS concepts used across industries, Learn SQL and work with popular databases like MySQL and PostgreSQL to retrieve and manage data efficiently, Design smarter databases with techniques like data optimization, stored procedures, and seamless data transfers using ETL/ELT processes, Ensure top performance and security by optimizing queries, managing user roles, and leveraging AI to improve workflows","Gain job-ready database skills by mastering core RDBMS concepts used across industries, Learn SQL and work with popular databases like MySQL and PostgreSQL to retrieve and manage data efficiently, Design smarter databases with techniques like data optimization, stored procedures, and seamless data transfers using ETL/ELT processes, Ensure top performance and security by optimizing queries, managing user roles, and leveraging AI to improve workflows","Data Security, Shell Script, Apache Kafka, Database Architecture and Administration, Data Import/Export, Linux Commands, Database Design, Data Pipelines, SQL, Data Store, Database Administration, Database Management","Data Security, Shell Script, Apache Kafka, Database Architecture and Administration, Date Amount/Export, Linux Commands, Database Design, Data Pipelines, SQL, Date store, Database Administration, Database Management","Businesses rely on competent relational database administrators manage and secure structured databases, ensuring performance, integrity, backups, and user access that leads to good business decisions. This program provides aspiring database  administrators, managers, analysts, and other technical specialists with job-ready skills and practical experience. You’ll learn to design, build, and maintain databases using industry-standard platforms such as MySQL, PostgreSQL, and IBM Db2. You'll build expertise writing efficient SQL queries, implementing data warehouse solutions, and managing ETL pipelines with tools like Apache Airflow and Kafka. Additionally, you’ll explore database security, user management, and performance optimization. You’ll learn how to build efficiencies using Linux commands and shell scripting for automating routine tasks and streamlining database management. You’ll also explore database normalization, query optimization, and advanced SQL techniques. When you complete the full program, you’ll have a portfolio of projects and a Professional Certificate from IBM to showcase your expertise. You’ll also earn an IBM digital badge and will gain access to career resources to help you in your job search, including mock interviews and resume support. To build the job-ready relational database skills and hands-on experience employers are looking for, enroll today and kickstart a highly rewarding database management or data engineering career. Applied Learning Project During this program, you’ll gain valuable practical experience through hands-on labs and projects. By the end, you’ll have a portfolio of demonstrable database management, data engineering, and analytics skills employers are looking for. Great for interviews! The labs and projects covered in this certificate are: Design a relational database system Data collection, transformation, and preparation pipeline Toll plaza traffic decongestion project using data pipelining Database administration, optimization, and maintenance Build a data warehouse for solid waste management Design data architecture and implementing ETL solutions The Capstone Project The final Capstone Project requires you to design and build a relational database and data warehouse. You will optimize performance and ensure security and data integrity.","Businesses rely on competent relational database administrators manage and secure structured databases, ensuring performance, integrity, backups, and user access that leads to good business decisions. This program provides aspiring database  administrators, managers, analysts, and other technical specialists with job-ready skills and practical experience. You’ll learn to design, build, and maintain databases using industry-standard platforms such as MySQL, PostgreSQL, and IBM Db2. You'll build expertise writing efficient SQL queries, implementing data warehouse solutions, and managing ETL pipelines with tools like Apache Airflow and Kafka. Additionally, you’ll explore database security, user management, and performance optimization. You’ll learn how to build efficiencies using Linux commands and shell scripting for automating routine tasks and streamlining database management. You’ll also explore database normalization, query optimization, and advanced SQL techniques. When you complete the full program, you’ll have a portfolio of projects and a Professional Certificate from IBM to showcase your expertise. You’ll also earn an IBM digital badge and will gain access to career resources to help you in your job search, including mock interviews and resume support. To build the job-ready relational database skills and hands-on experience employers are looking for, enroll today and kickstart a highly rewarding database management or data engineering career. Applied Learning Project During this program, you’ll gain valuable practical experience through hands-on labs and projects. By the end, you’ll have a portfolio of demonstrable database management, data engineering, and analytics skills employers are looking for. Great for interviews! The labs and projects covered in this certificate are: Design a relational database system Data collection, transformation, and preparation pipeline Toll plaza traffic decongestion project using data pipelining Database administration, optimization, and maintenance Build a data warehouse for solid waste management Design data architecture and implementing ETL solutions The Capstone Project The final Capstone Project requires you to design and build a relational database and data warehouse. You will optimize performance and ensure security and data integrity."
https://www.coursera.org/specializations/google-cloud-database-engineer,Google Cloud Database Engineer Specialization,Google Cloud Database Engineer Specialization,"Learn the skills needed to be successful in a cloud database engineer role, Prepare for the Professional Cloud Database Engineer certification exam, Learn how to plan, execute, test, and monitor enterprise database migrations to Google Cloud, Migrate and manage Cloud SQL, Cloud Spanner, and Bigtable databases","Learn the skills needed to be successful in a cloud database engineer role, Prepare for the Professional Cloud Database Engineer certification exam, Learn how to plan, execute, test, and monitor enterprise database migrations to Google Cloud, Migrate and manage Cloud SQL, Cloud Spanner, and Bigtable databases","Cloud Storage, Database Architecture and Administration, Cloud Computing Architecture, Cloud Infrastructure, Containerization, Prompt Engineering, Identity and Access Management, Data Migration, Database Administration, Application Deployment, Database Management, Generative AI","Cloud Storage, Database Architecture and Administration, Cloud Computing Architecture, Cloud infrastructure, Containerization, Prompt Engineering, Identity and Access Management, Data Migration, Database Administration, Application Deployment, Database Management, Generative AI","A Database Engineer designs, creates, manages, migrates, and troubleshoots databases used by applications to store and retrieve data. This learning path guides you through a curated collection of on-demand courses, labs, and skill badges that provide you with real-world, hands-on experience using Google Cloud technologies essential to the Database Engineer role. Once you complete the path, check out our catalog for 700+ labs and courses to keep going on your professional journey. Applied Learning Project This specialization incorporates labs using our Qwiklabs platform. These components will let you gain practical hands-on experience with the concepts explained in the video modules. In addition, you will learn about and practice working with Google Cloud databases such as Cloud SQL, Cloud Spanner, and Bigtable.","A Database Engineer designs, creates, manages, migrates, and troubleshoots databases used by applications to store and retrieve data. This learning path guides you through a curated collection of on-demand courses, labs, and skill badges that provide you with real-world, hands-on experience using Google Cloud technologies essential to the Database Engineer role. Once you complete the path, check out our catalog for 700+ labs and courses to keep going on your professional journey. Applied Learning Project This specialization incorporates labs using our Qwiklabs platform. These components will let you gain practical hands-on experience with the concepts explained in the video modules. In addition, you will learn about and practice working with Google Cloud databases such as Cloud SQL, Cloud Spanner, and Bigtable."
https://www.coursera.org/learn/sql-practical-introduction-for-querying-databases,SQL: A Practical Introduction for Querying Databases,SQL: A Practical Introduction for Querying Databases,"Analyze data within a database using SQL., Create a relational database on Cloud and work with tables., Write SQL statements including SELECT, INSERT, UPDATE, and DELETE., Build more powerful queries with advanced SQL techniques like views, transactions, stored procedures and joins.","Analyze Data within a database using SQL., Create a relational database on Cloud and work with tables., Write SQL statements including SELECT, INSERT, UPDATE, and DELETE., Build more powerful queries with advanced SQL techniques like views, transactions, stored procedures and joins.","Database Management, Databases, Database Systems, Data Manipulation, IBM DB2, SQL, Data Analysis, Relational Databases, Microsoft SQL Servers, Transaction Processing, Stored Procedure, Query Languages, MySQL","Database Management, Databases, Database Systems, Data manipulation, IBM DB2, SQL, Data analysis, Relational Databases, Microsoft SQL Servers, Transaction Processing, Stored Procedure, Query Languages, Mysql","Much of the world's data lives in databases. SQL (or Structured Query Language) is a powerful programming language that is used for communicating with and manipulating data in databases. A working knowledge of databases and SQL is a must for anyone who wants to start a career in Data Engineering, Data Warehousing, Data Analytics, Data Science or Business Intelligence. The purpose of this course is to help you learn and apply foundational and intermediate knowledge of the SQL language, and become familiar with many relational database (RDBMS) concepts along the way. You will start with performing basic Create, Read, Update and Delete (CRUD) operations using CREATE, SELECT, INSERT, UPDATE and DELETE statements. You will then learn to filter, order, sort, and aggregate data. You will work with functions, perform sub-selects and nested queries, as well as JOIN data in multiple tables. You will also work with VIEWS, transactions and create stored procedures.

The emphasis in this course is on hands-on, practical learning. As such, you will work with real database systems, use real tools, and real-world datasets. You will create a database instance in the cloud. Through a series of hands-on labs, you will practice building and running SQL queries. At the end of the course you will apply and demonstrate your skills with a final project.

The SQL skills you learn in this course will be applicable to a variety of RDBMSes such as MySQL, PostgreSQL, IBM Db2, Oracle, SQL Server and others.

No prior knowledge of databases, SQL or programming is required, however some basic data literacy is beneficial.","Much of the world's data lives in databases. SQL (or Structured Query Language) is a powerful programming language that is used for communicating with and manipulating data in databases. A working knowledge of databases and SQL is a must for anyone who wants to start a career in Data Engineering, Data Warehousing, Data Analytics, Data Science or Business Intelligence. The purpose of this course is to help you learn and apply foundational and intermediate knowledge of the SQL language, and become familiar with many relational database (RDBMS) concepts along the way. You will start with performing basic Create, Read, Update and Delete (CRUD) operations using CREATE, SELECT, INSERT, UPDATE and DELETE statements. You will then learn to filter, order, sort, and aggregate data. You will work with functions, perform sub-selects and nested queries, as well as JOIN data in multiple tables. You will also work with VIEWS, transactions and create stored procedures.

The emphasis in this course is on hands-on, practical learning. As such, you will work with real database systems, use real tools, and real-world datasets. You will create a database instance in the cloud. Through a series of hands-on labs, you will practice building and running SQL queries. At the end of the course you will apply and demonstrate your skills with a final project.

The SQL skills you learn in this course will be applicable to a variety of RDBMSes such as MySQL, PostgreSQL, IBM Db2, Oracle, SQL Server and others.

No prior knowledge of databases, SQL or programming is required, however some basic data literacy is beneficial."
https://www.coursera.org/learn/database-management,Database Management Essentials,Database Management Essentials,,,"Data Modeling, Database Management Systems, Systems Design, Query Languages, Database Design, SQL, PostgreSQL, Relational Databases, Databases, Oracle Databases","Date modeling, Database Management Systems, Systems design, Query Languages, Database Design, SQL, PostgreSQL, Relational Databases, Databases, Oracle Databases","Database Management Essentials provides the foundation you need for a career in database development, data warehousing, or business intelligence, as well as for the entire Data Warehousing for Business Intelligence specialization. In this course, you will create relational databases, write SQL statements to extract information to satisfy business reporting requests, create entity relationship diagrams (ERDs) to design databases, and analyze table designs for excessive redundancy. As you develop these skills, you will use either Oracle, MySQL, or PostgreSQL to execute SQL statements and a database diagramming tool such as the ER Assistant or Visual Paradigm to create ERDs. We’ve designed this course to ensure a common foundation for specialization learners. Everyone taking the course can jump right in with writing SQL statements in Oracle, MySQL, or PostgreSQL.","Database Management Essentials provides the foundation you need for a career in database development, data warehousing, or business intelligence, as well as for the entire Data Warehousing for Business Intelligence specialization. In this course, you will create relational databases, write SQL statements to extract information to satisfy business reporting requests, create entity relationship diagrams (ERDs) to design databases, and analyze table designs for excessive redundancy. As you develop these skills, you will use either Oracle, MySQL, or PostgreSQL to execute SQL statements and a database diagramming tool such as the ER Assistant or Visual Paradigm to create ERDs. We’ve designed this course to ensure a common foundation for specialization learners. Everyone taking the course can jump right in with writing SQL statements in Oracle, MySQL, or PostgreSQL."
https://www.coursera.org/specializations/databases-for-data-scientists,Databases for Data Scientists Specialization,Databases for Data Scientists Specialization,"Design effective, efficient databases through normalization and data modeling, Develop expertise in programming with the Structured Query Language (“SQL”), Knowledge about database operations, data warehouse, big data, and NoSQL","Design effective, efficient databases through normalization and data modeling, Develop expertise in programming with the Structured Query Language (“SQL”), Knowledge about database operations, data warehouse, big data, and NoSQL","Query Languages, Database Architecture and Administration, Database Theory, Database Application, Database Design, Data Integrity, Databases, SQL, Database Administration, Database Management, Data Architecture, Big Data","Query languages, Database Architecture and Administration, Database Theory, Database Application, Database Design, Integrity data, Databases, SQL, Database Administration, Database Management, Data Architecture, Big data","Whether you are a beginning programmer with an interest in Data Science, a data scientist working closely with content experts, or a software developer seeking to learn about the database layer of the stack this specialization is for you!

We focus on the relational database which is the most widely used type of database.  Relational databases have dominated the database software marketplace for nearly four decades and form a core, foundational part of software development. 

In this specialization you will learn about database design, database software fundamentals, and how to use the Structured Query Language (SQL) to work with databases. The specialization, will conclude with an overview of future trends in databases, including non-relational databases (NoSQL) and Big Data. Upon completion of this specialization you will be well prepared to design and create efficient and effective relational databases, fill them with data, and work with them using SQL. Applied Learning Project In Relational Database Design and The Structured Query Language (SQL), you will perform coding exercises, reflect on what you learned, and describe the challenges you experienced. Then, in Advanced Topics and Future Trends in Database Technologies, you will map out a plan for a big data project and investigate the benefits and drawbacks of non-relational databases.","Whether you are a beginning programmer with an interest in Data Science, a data scientist working closely with content experts, or a software developer seeking to learn about the database layer of the stack this specialization is for you!

We focus on the relational database which is the most widely used type of database.  Relational databases have dominated the database software marketplace for nearly four decades and form a core, foundational part of software development. 

In this specialization you will learn about database design, database software fundamentals, and how to use the Structured Query Language (SQL) to work with databases. The specialization, will conclude with an overview of future trends in databases, including non-relational databases (NoSQL) and Big Data. Upon completion of this specialization you will be well prepared to design and create efficient and effective relational databases, fill them with data, and work with them using SQL. Applied Learning Project In Relational Database Design and The Structured Query Language (SQL), you will perform coding exercises, reflect on what you learned, and describe the challenges you experienced. Then, in Advanced Topics and Future Trends in Database Technologies, you will map out a plan for a big data project and investigate the benefits and drawbacks of non-relational databases."
https://www.coursera.org/learn/cpsc-6620-database-management-systems,Database Management Systems,Database Management Systems,,,"Database Architecture and Administration, Databases, Data Modeling, SQL, Distributed Computing, Database Design, NoSQL, Data Manipulation, Transaction Processing, Performance Tuning, MySQL, Database Management Systems, Big Data, Relational Databases","Database Architecture and Administration, Databases, Date modeling, SQL, Distributed Computing, Database Design, Nosql, Data manipulation, Transaction Processing, Performance Tuning, Mysql, Database Management Systems, Big data, Relational Databases","This course introduces database concepts as related to the design of online data systems. This course will focus on the design and use of the MySQL relational database and Structured Query Language (SQL). Problems involving structuring, creating, maintaining, and accessing multi-user databases are presented and solutions developed. Comparisons of several commercially available database management systems are made including NoSQL systems.","This course introduces database concepts as related to the design of online data systems. This course will focus on the design and use of the MySQL relational database and Structured Query Language (SQL). Problems involving structuring, creating, maintaining, and accessing multi-user databases are presented and solutions developed. Comparisons of several commercially available database management systems are made including NoSQL systems."
